region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,existing_installs_count
1001.0,Massachusetts,42.0996474,42.0311526,-72.5854781,-72.661521,42.06757266271638,-72.62309862213715,969.85,43,1.0153129161118508,70.49180327868852,50,605,338,246,347,12779.033746337887,185762.1841796875,94996.50935668944,64076.549829101554,99460.7239868164,0
1013.0,Massachusetts,42.1975711,42.1278192,-72.5857091,-72.6261352,42.1624031602555,-72.60763027432175,969.85,4548,97.6460456437491,66.85285903277966,5669,55947,32488,28411,93830,1403366.0142303463,16685114.95103758,8920992.941455083,7583437.453552245,26898722.792163093,10
1020.0,Massachusetts,42.2186027,42.1390155,-72.5142666,-72.6089076,42.17609716074958,-72.57474968254718,969.85,6310,80.2349431288458,73.32093887985128,11630,74401,57952,55102,180367,2884564.1689636223,21853570.334906004,15617084.907482948,14738918.467443854,51682267.57328494,15
1022.0,Massachusetts,42.2131559,42.1780304,-72.5304884,-72.5755901,42.1946456607296,-72.55820347403412,969.85,638,81.65236051502146,83.83705650459923,8701,17922,15504,12226,113058,2246585.027740478,5434798.3137695305,4445157.625665285,3264327.7713928213,32712777.259814437,2
1027.0,Massachusetts,42.3283067,42.2234782,-72.6157521,-72.8158149,42.26424780245675,-72.68122210979853,966.45,437,9.34152263962291,66.81957186544342,1064,6632,3146,4178,5918,263379.87047119136,1952287.8575195307,867102.9743041993,1124274.4638671875,1682100.6037109378,7
1033.0,Massachusetts,42.2886915,42.2174096,-72.4501204,-72.558262,42.25462729462443,-72.51598835197596,966.45,138,7.11997152011392,69.0,312,2548,659,765,122,76384.42635498046,741134.0594238278,177063.04387207035,199263.17463989256,31567.90305175781,14
1040.0,Massachusetts,42.2848216,42.1615387,-72.5927553,-72.6900341,42.2030875944533,-72.63182820694126,969.85,2910,41.94613009688066,73.85786802030456,3344,26984,29407,25474,216207,829188.586199951,8012698.266253662,8045200.184313972,6748664.186447138,62246035.21351933,10
1056.0,Massachusetts,42.2244417,42.1543407,-72.4020267,-72.5212226,42.174732199513215,-72.4694584130181,969.85,3969,63.117823265102345,78.48526794542218,4535,49666,38617,36920,83514,1120497.7847900393,14847193.778277572,10340555.613494884,9920015.106951885,23939906.771411143,74
1068.0,Massachusetts,42.3744046,42.3400892,-72.0137369,-72.0841509,42.34857697941176,-72.0302491647059,982.6,12,76.47058823529412,46.15384615384615,30,105,69,100,28,7440.367919921875,29812.564648437496,18272.535913085936,26156.468115234373,7605.106884765624,0
1073.0,Massachusetts,42.2768628,42.1837711,-72.6694187,-72.7955775,42.22516794530668,-72.71875489569625,966.45,348,18.23110809894951,64.68401486988847,448,4388,3325,3156,2344,111959.31552734372,1251604.2589416506,884329.5275268554,819426.7816406253,663418.6259338377,4
1075.0,Massachusetts,42.289559,42.2121544,-72.5407017,-72.6224394,42.23738236936609,-72.58122281513472,966.45,36,0.919175911251981,62.068965517241374,112,544,514,608,100,27691.13564453125,154345.63062133788,130698.90765991207,170704.48356933592,25899.687597656248,0
1077.0,Massachusetts,42.0999375,41.9981631,-72.708677,-72.829219,42.05295051889557,-72.771548812575,969.8761941448385,239,8.738079396762032,60.65989847715736,165,3038,2789,1739,600,40646.53806152343,904006.7818237306,761047.456213379,447999.43094482407,162459.54707031252,6
1085.0,Massachusetts,42.2430099,42.0830428,-72.6853075,-72.8671596,42.13015497537843,-72.74987125023446,969.8439257418056,5049,53.26188881446752,63.493460764587525,12128,62026,52669,37662,240382,3035777.44375,18099066.47196655,14324687.14577027,9870206.284832766,68598457.14288944,15
1089.0,Massachusetts,42.1620471,42.0885926,-72.594742,-72.693367,42.116218860870006,-72.64373665010433,969.85,2268,33.23596912163572,71.1864406779661,5268,31140,24491,26430,116895,1285984.120745849,9195050.030065933,6640499.891662601,7051334.528771978,33482793.313183594,18
1095.0,Massachusetts,42.1770615,42.085854,-72.3866524,-72.4933523,42.12557060126085,-72.4483601083333,969.85,736,18.045705279747832,80.34934497816593,983,12681,8526,9095,23451,247671.05761718744,3726952.51296997,2280910.2087707534,2495575.3772888174,6787236.712420654,2
1104.0,Massachusetts,42.1557659,42.1041877,-72.5242918,-72.613422,42.133119213367614,-72.5719938626392,969.85,3520,89.48871750928305,56.176188956271936,2528,31574,18037,16228,216233,624422.6845275878,9203506.294287123,4996578.7863037065,4367920.689465336,62112223.18293452,16
1105.0,Massachusetts,42.1252563,42.0857532,-72.5620511,-72.5901346,42.10042145012241,-72.57609767435737,969.85,22,1.591187270501836,84.61538461538461,58,140,28,6,3907,14613.660693359374,42966.02214965821,8288.783197021483,1621.2224731445312,1117630.865319824,0
1107.0,Massachusetts,42.1355701,42.1105185,-72.5921315,-72.6193903,42.12147291150541,-72.60488730268841,969.85,422,52.043010752688176,43.595041322314046,148,3209,2001,1619,13856,37201.029547119135,934146.0662597656,546428.9506408692,427753.1947204591,3948327.113323976,1
1109.0,Massachusetts,42.1395804,42.0980906,-72.5190385,-72.5808576,42.11691453125574,-72.54920360070852,969.85,1349,38.065870620653456,46.50120648052396,699,11662,5674,8330,31350,175480.8922424316,3383148.052215575,1499595.4078613285,2212329.693841554,8871092.099261472,3
1119.0,Massachusetts,42.1461991,42.1024032,-72.4947158,-72.5264941,42.12649477243278,-72.51102566480827,969.85,1969,73.2481269281622,59.23586040914561,1824,16942,12239,15374,28880,446238.80556640634,4953299.6518371655,3212645.271301267,4085238.997619629,8289673.59194336,1
1129.0,Massachusetts,42.1478677,42.1003396,-72.4736823,-72.5034283,42.12201768114479,-72.48796591735888,969.85,1027,54.32098765432099,70.73002754820936,1041,10631,6496,8140,30967,260856.63571777343,3140612.780511474,1711212.0810546882,2180097.215820313,8981662.146545408,3
1151.0,Massachusetts,42.1615323,42.1414339,-72.4836226,-72.5366281,42.15267533118202,-72.50561617672224,969.85,1823,96.3379260333575,68.61121565675575,2555,17154,16491,10651,66620,623894.1837463378,5150896.479400645,4483473.895886234,2823642.6861145026,18989422.503851328,15
1152.0,Massachusetts,42.1570569,42.1499553,-72.5138737,-72.5234637,42.15290613030303,-72.51743511818174,969.85,22,100.0,66.66666666666667,77,210,500,488,4877,18950.61594238281,64191.721093750006,146700.69897460935,126806.05821533204,1416582.5328186036,0
1199.0,Massachusetts,42.1229423,42.1197338,-72.6009101,-72.6042713,42.12065989411765,-72.60228172352943,969.85,8,94.11764705882352,50.0,4,173,225,91,4910,1048.7698852539063,50424.95881347656,59310.86400146484,26046.525305175783,1368710.6307678225,0
1201.0,Massachusetts,42.4938296,42.3960728,-73.1863795,-73.3393222,42.45365901263938,-73.24669265000443,943.5,4447,59.63785567745964,66.51211486688604,4624,50137,38637,26293,190402,1125464.509313965,14595445.413018808,10214929.222363286,6683526.5742614735,53423974.07639164,24
1237.0,Massachusetts,42.618327,42.4879458,-73.1920946,-73.2942843,42.51945983497615,-73.23959789252771,943.5,102,29.72972972972973,54.545454545454554,111,1232,1142,879,1411,26436.50980834961,352826.20490722667,305478.1225158691,223821.75740966795,384977.9869873048,0
1238.0,Massachusetts,42.3352017,42.2436997,-73.175479,-73.2965186,42.302357060369296,-73.251015725071,943.5,15,1.8465909090909087,57.692307692307686,0,228,130,72,422,0.0,62355.47684326172,33063.556909179686,18789.687866210938,113367.19225463866,0
1240.0,Massachusetts,42.4064424,42.3041547,-73.2442378,-73.3239613,42.36370997955272,-73.27650252164517,943.5,704,86.26198083067091,65.18518518518519,1422,14639,11382,9187,25948,339874.0772521972,4233913.73806763,3059409.656530759,2379281.274987792,7245808.047418212,3
1242.0,Massachusetts,42.3380515,42.3332037,-73.2442378,-73.2470255,42.335103152459006,-73.24584754098356,943.5,27,72.1311475409836,61.36363636363637,10,267,112,83,238,2428.310546875,76107.41569213867,29268.04128417969,20304.93779296875,63933.22698364258,1
1266.0,Massachusetts,42.350766,42.3133637,-73.3076089,-73.3780305,42.336189068238994,-73.36031941886797,943.5,13,10.37735849056604,39.39393939393939,0,89,96,14,55,0.0,24191.09504394531,24936.029150390623,3279.5197631835936,14011.84658203125,0
1420.0,Massachusetts,42.6342915,42.5417735,-71.749227,-71.8681811,42.57727990966535,-71.80537808378435,982.6,7478,96.3243147027412,69.09359696941698,5269,85362,53219,42888,315352,1323490.4259460457,25300719.568035863,14471984.769177249,11441508.450659154,90319691.04534307,218
1450.0,Massachusetts,42.6619584,42.569811,-71.4940779,-71.6586088,42.61036907267428,-71.55492187705966,974.1,241,11.71102661596958,52.16450216450217,166,3397,1670,1199,867,40137.949609375,965167.7102539062,448675.5243896486,312373.0704833983,246408.3449523925,4
1453.0,Massachusetts,42.5734134,42.4777032,-71.6940711,-71.8192149,42.52625275865044,-71.75450894304437,982.6,8055,92.65270227054685,69.50556562257313,7786,96667,69216,68099,372933,1939025.405935669,28424181.1827087,18794647.34342653,18520226.54280397,107096606.47409068,297
1462.0,Massachusetts,42.631336,42.5353127,-71.666246,-71.7723439,42.58499015013029,-71.72346578346352,982.6,1002,40.25112532575219,58.975868157739846,668,12651,9374,11371,24492,167096.1178771973,3714803.542034913,2527330.9569580085,3078507.1669372595,7035526.198059082,47
1463.0,Massachusetts,42.7045894,42.6280506,-71.533888,-71.6571147,42.66984271057966,-71.59538820777568,974.1,16,0.5419415645617341,69.56521739130433,0,279,43,69,15,0.0,80239.30833740234,11402.74501953125,17978.243127441405,3947.473876953125,0
1473.0,Massachusetts,42.6213455,42.5071502,-71.8479146,-71.9765557,42.54958763526511,-71.90524125490121,982.6,8,0.3699136868064118,66.66666666666667,0,503,14,4,3255,0.0,148205.727734375,3626.256884765625,1062.7035766601562,945050.5693359376,0
1501.0,Massachusetts,42.2311053,42.1601604,-71.7967445,-71.8928234,42.20439092730686,-71.83944569963947,982.6,4481,98.72257288848813,68.21434008220429,5329,50867,45406,38448,203493,1345025.571685791,15050638.42996829,12562495.923229983,10292715.014520274,59519968.44715574,139
1504.0,Massachusetts,42.0643188,42.0145326,-71.4981356,-71.5635629,42.03112537752105,-71.52639108529496,982.596135565199,2202,99.3131439275679,69.22351461804465,1405,25326,19996,18042,25104,355986.348022461,7529019.922613523,5408796.03858033,4808811.187017827,7226112.521337895,21
1505.0,Massachusetts,42.3866471,42.3122672,-71.6740552,-71.7640553,42.338990239871386,-71.7278722699358,982.6,716,66.7738478027867,57.46388443017656,522,11113,5532,4289,21047,128457.50902099612,3161224.203796386,1475331.4903747567,1114423.5706542972,5961138.391802978,4
1507.0,Massachusetts,42.1898357,42.0738166,-71.9015312,-72.0452648,42.138292331499045,-71.96388862370019,982.6,988,28.330170777988616,66.17548559946417,1247,13997,8762,8447,2168,314501.1781921388,4109547.4619750967,2365995.4313354497,2256622.361273193,592625.7548278809,15
1515.0,Massachusetts,42.2435086,42.1696009,-72.0189688,-72.0765131,42.21636759714795,-72.04854999447399,982.6,268,38.50267379679144,62.03703703703704,939,3353,3582,4003,2278,237727.53245849608,993938.8939575193,961585.995465088,1084469.6683959956,641088.7693115235,5
1516.0,Massachusetts,42.1009849,42.0100826,-71.6799888,-71.8283648,42.06014231349951,-71.73150173476859,982.6,477,29.718355454839752,51.96078431372549,38,6324,2087,3295,7406,9187.43158569336,1837706.9451599107,553160.2038818361,871242.2684448241,2113098.9882385246,1
1519.0,Massachusetts,42.2318978,42.1782532,-71.6415979,-71.7248806,42.20017446836017,-71.68704664630332,982.6,416,21.60264353572904,79.54110898661568,205,6744,3629,2547,2836,51127.795404052726,1988093.518060302,1005035.5664489748,676424.9534362797,825808.5414855955,16
1520.0,Massachusetts,42.3725814,42.2963004,-71.8028743,-71.9105166,42.340296110197364,-71.84135477598677,982.6,3098,88.48684210526316,63.98182569186287,1634,41804,24770,27662,53985,410975.05571899423,12049403.304998754,6645109.207891849,7373948.302447509,15382202.019244382,40
1522.0,Massachusetts,42.4190258,42.3339569,-71.818659,-71.9252214,42.37353269584872,-71.86885967472324,982.6,241,34.50184501845018,64.43850267379679,586,3958,2321,2036,236,147884.14737548828,1168656.2184997562,623793.0166259768,544989.5110229492,62996.315624999996,0
